N,output,parameter,S1,S1_conf,ST,ST_conf
512,CADR_m3h,Kc,0.0014298581879491012,0.003955298309053086,0.0005541909072551877,0.00016536751754222615
512,CADR_m3h,a_s,0.27280277031261635,0.12749703481264135,0.42481244446467975,0.12607776406526042
512,CADR_m3h,Lc,0.00011402378617726259,0.00236845070096876,0.00039439531472829575,0.0001574853482599368
512,CADR_m3h,A,0.166004014547858,0.09919792850318383,0.27301600671903253,0.06877942397347729
512,CADR_m3h,L,0.11457682685667477,0.07351238553825691,0.2453302903748416,0.06173908895125324
512,CADR_m3h,Qb,0.002543655020453025,0.009983682834536425,0.008324387705244135,0.005134413852999402
512,CADR_m3h,I,0.03494872377951656,0.05634595386562261,0.06781119853242384,0.025959716839914656
512,CADR_m3h,ACH,0.0,0.0,0.0,0.0
1024,C30_ppm,Pmax,0.020660990078332234,0.2539094601057647,0.02735988955639593,0.006333009782257602
1024,C30_ppm,alpha,-0.005240151100838895,0.0848812842820316,0.003147633340512575,0.0008699256620707602
1024,C30_ppm,Kc,-0.0008678323471368215,0.006535517602126123,1.787467125770461e-05,4.5842881058539784e-06
1024,C30_ppm,a_s,0.047658070635889595,0.3438021494671808,0.05094521388421526,0.008510379952700558
1024,C30_ppm,Lc,-0.0018194166577530813,0.008846108313716702,3.125827066758937e-05,9.160819348122795e-06
1024,C30_ppm,A,0.03179623295090545,0.2713992355307255,0.03236380103348932,0.005961533314829422
1024,C30_ppm,L,0.009175619938556654,0.25543571723562736,0.02674984783349211,0.004602336022868072
1024,C30_ppm,Qb,-0.008619889271706446,0.10134365102853816,0.004129690746108304,0.0016648468142831077
1024,C30_ppm,I,0.03285956300724951,0.12188807641411338,0.00666110262564771,0.001660390076824232
1024,C30_ppm,ACH,0.8744108922967171,1.4796541704047583,0.8823698675777389,0.060459643525899304
1024,eta_sp,Pmax,0.08055979316476063,0.040527998514853884,0.1664507693269977,0.036047507075234755
1024,eta_sp,alpha,0.01085529230533124,0.011800547403474285,0.017170274649688747,0.006704881523007364
1024,eta_sp,Kc,-5.866638946717697e-05,0.0018609420652907287,0.00031823995010442715,7.046726017385353e-05
1024,eta_sp,a_s,0.21647312781398512,0.09052731898426461,0.34211392456811296,0.06725985408763306
1024,eta_sp,Lc,0.0008884687103392593,0.0024450780862107935,0.00036263959075812335,0.0001032503468958453
1024,eta_sp,A,0.10584771813757317,0.05398412063956605,0.21054303648148662,0.04473662249984386
1024,eta_sp,L,0.07232508376000152,0.039000924485369334,0.19646545761508044,0.040915492925427295
1024,eta_sp,Qb,0.16284899232747152,0.06206085818516848,0.32788015287043953,0.05634974696363558
1024,eta_sp,I,0.01539246054896966,0.02139948969472087,0.03570534878096625,0.009494398467169563
1024,eta_sp,ACH,0.0,0.0,0.0,0.0
1024,CADR_m3h,Pmax,0.1299376125134266,0.05388560661902807,0.22521160667359658,0.041282987347127736
1024,CADR_m3h,alpha,0.015637233207400188,0.023907153028435827,0.027920107390734857,0.0077172734014787
1024,CADR_m3h,Kc,0.0012057922026879149,0.0028120084841179406,0.0005390735046973408,0.0001123610394838319
1024,CADR_m3h,a_s,0.27025764115451534,0.08287088943628734,0.4284351643130788,0.0781815063561206
1024,CADR_m3h,Lc,0.0011083162894665502,0.0020619742045792666,0.0003356681708367059,8.923080845977883e-05
1024,CADR_m3h,A,0.15063443048777642,0.05835688005872074,0.27585849840928267,0.04673567039045708
1024,CADR_m3h,L,0.14870701180766563,0.05566491181788273,0.24991489751388643,0.04263572589817746
1024,CADR_m3h,Qb,0.007516026898331993,0.010263925886824576,0.008227375981269944,0.00459362220148405
1024,CADR_m3h,I,0.031522913619573885,0.0343113460256316,0.061305916077480344,0.017994419389802434
1024,CADR_m3h,ACH,0.0,0.0,0.0,0.0
2048,C30_ppm,Pmax,0.019936589496512287,0.1837703141787387,0.02719161580011904,0.003949809052736948
2048,C30_ppm,alpha,-0.0005359448550588725,0.05806291916248655,0.0029655106578689978,0.0006299740419906558
2048,C30_ppm,Kc,-0.0005534200993160103,0.004754194912188695,1.842905268495791e-05,3.235048133437234e-06
2048,C30_ppm,a_s,0.043693046322280674,0.25233317087464674,0.052824190303422815,0.00631363025514972
2048,C30_ppm,Lc,-0.0010639142823776495,0.0058326335819383094,2.8935875673438007e-05,5.3697317954800846e-06
2048,C30_ppm,A,0.03686696729263983,0.19672351157031645,0.03186361215600642,0.003947329845709531
2048,C30_ppm,L,-0.006035156195953204,0.1872388148862509,0.028697094233880772,0.0036179127805643953
2048,C30_ppm,Qb,0.006003651102493729,0.07791291630095618,0.004991141199425382,0.001484422073140736
2048,C30_ppm,I,0.022250879320717804,0.08898852203123352,0.0070594792820348915,0.0014901542449530189
2048,C30_ppm,ACH,0.8535914107020058,0.9932691039509278,0.8805281258462333,0.04195146905546681
2048,eta_sp,Pmax,0.08280570708327578,0.029774065029061172,0.17438070021828136,0.02925411028513128
2048,eta_sp,alpha,0.009620597220866311,0.008212577654454475,0.020246601717424765,0.006384558880948512
2048,eta_sp,Kc,1.576185781804442e-05,0.0011738692526554783,0.000318271971499206,4.8463255255427485e-05
